Produit,Modèle,Longueur (mm),Largeur (mm),Hauteur (mm)
DS DS4 E TENSE HYBRIDE,DS 4 E-Tense hybride,4400,1866,1490
RENAULT PRET A PARTIR ARKANA HYBRIDE,Renault Arkana hybride,4568,1821,1571
HYUNDAI GAMME ELECTRIQUE,Gamme,-,-,-
TOYOTA LES ESSAIS EXTRAORDINAIRES HYBRIDE,Offre commerciale,-,-,-
CITROEN LES OFFRES CITROZEN E C4 ELECTRIQUE,Citroën e-C4 électrique,4360,1800,1525
RENAULT MEGANE ELECTRIQUE,Renault Mégane E-Tech,4210,1780,1500
RENAULT PRET A PARTIR TWINGO ELECTRIQUE,Renault Twingo électrique,3622,1646,1559
HYUNDAI TUCSON HYBRIDE,Hyundai Tucson hybride,4630,1865,1665
PEUGEOT LES ESSAIS UNIQUES 308 HYBRIDE,Peugeot 308 hybride,4367,1852,1441
RENAULT PRET A PARTIR E TECH HYBRIDE ARKANA HYBRID,Renault Arkana hybride,4568,1821,1571
DACIA LES JOURS ESSENTIELS JOGGER,Dacia Jogger,4547,1848,1645
RENAULT PRET A PARTIR E TECH HYBRIDE CAPTUR HYBRID,Renault Captur hybride,4239,1797,1575
TOYOTA LES ESSAIS EXTRAORDINAIRES YARIS HYBRIDE,Toyota Yaris hybride,3940,1745,1500
MERCEDES EQB ELECTRIQUE,Mercedes EQB électrique,4684,1834,1667
HONDA HR-V 4X4 HYBRIDE,Honda HR-V hybride,4385,1790,1605
FORD PUMA HYBRIDE E85,Ford Puma hybride,4207,1805,1536
VW ID BUZZ ELECTRIQUE,Volkswagen ID.Buzz,4712,1988,1937
THEORIGINALS STORE RENAULT COM,Offre commerciale,-,-,-
PEUGEOT LES ECO REPRISES 3008,Peugeot 3008,4500,1841,1624
CITROEN C5 X HYBRIDE,Citroën C5 X hybride,4805,1865,1485
DACIA SANDERO ECO G,Dacia Sandero Eco-G,4088,1733,1517
PEUGEOT LES ECO REPRISES E 208 ELECTRIQUE,Peugeot e-208 électrique,4055,1745,1430
TOYOTA AYGO X,Toyota Aygo X,3700,1740,1525
OPEL ASTRA HYBRIDE,Opel Astra hybride,4374,1860,1470
FIAT 500 LA PRIMA ELECTRIQUE,Fiat 500e,3571,1627,1527
HONDA GAMME ELECTRIQUE,Gamme,-,-,-
RENAULT TWINGO URBAN NIGHT ELECTRIQUE,Renault Twingo électrique,3622,1646,1559
ALFA ROMEO TONALE HYBRIDE,Alfa Romeo Tonale hybride,4532,1837,1600
PORSCHE COM,Offre commerciale,-,-,-
PEUGEOT E 208 LIKE ELECTRIQUE,Peugeot e-208 électrique,4055,1745,1430
RENAULT PRET A PARTIR CLIO HYBRIDE,Renault Clio hybride,4050,1739,1440
NISSAN JUKE HYBRIDE,Nissan Juke hybride,4210,1800,1595
KIA NIRO ELECTRIQUE,Kia Niro électrique,4420,1825,1570
DS DS7,DS 7,4573,1895,1620
HYUNDAI N COM,Offre commerciale,-,-,-
VW LES INSTANTS VW ID4,Volkswagen ID.4,4584,1852,1632
NISSAN GAMME ELECTRIQUE,Gamme,-,-,-
BMW IX1 ELECTRIQUE,BMW iX1 électrique,4500,1845,1613
NISSAN QASHQAI ELECTRIQUE,Nissan Qashqai électrique,4425,1837,1635
JEEP 4XE HYBRIDE,Jeep Compass 4xe hybride,4394,1819,1640
FORD LES MOMENTS MEET MY FORD KUGA HYBRIDE,Ford Kuga hybride,4613,1882,1689
RANGE ROVER EVOQUE HYBRIDE FLEXFUEL,Range Rover Evoque hybride,4371,1904,1649
HYUNDAI IONIQ 6 ELECTRIQUE,Hyundai IONIQ 6,4855,1825,1495
AUDI OCCASIONS,Offre commerciale,-,-,-
SKODA ENYAQ COUPE IV ELECTRIQUE,Skoda Enyaq Coupé IV,4653,1879,1616
AUDI Q8 E TRON ELECTRIQUE,Audi Q8 e-tron,4901,1937,1633
RENAULT AUSTRAL HYBRIDE,Renault Austral hybride,4510,1820,1625
SHARE MOBILIZE FR,Offre commerciale,-,-,-
VW ID5 ELECTRIQUE,Volkswagen ID.5,4599,1852,1632
RENAULT SCENIC VISION,Renault Scénic Vision,4490,1866,1561
DACIA LES ESSAIS DACIA DUSTER,Dacia Duster,4341,1804,1693
DACIA LES ESSAIS DACIA SANDERO,Dacia Sandero,4088,1733,1517
CITROEN C4X ELECTRIQUE,Citroën C4 X électrique,4600,1800,1525
PEUGEOT 208 ELECTRIQUE,Peugeot e-208,4055,1745,1430
DS DS4 HYBRIDE,DS 4 hybride,4400,1866,1490
SKODA ENYAQ COUPE ELECTRIQUE,Skoda Enyaq Coupé,4653,1879,1616
NISSAN X TRAIL ELECTRIQUE,Nissan X-Trail électrique,4690,1840,1720
OPEL MOKKA E,Opel Mokka-e,4151,1751,1529
ALFA TONALE HYBRIDE,Alfa Romeo Tonale hybride,4532,1837,1600
JEEP JOURNEES ELECTRIC FREEDOM JEEP COMPAS.E HYBRI,Jeep Compass 4xe hybride,4394,1819,1640
RENAULT RENOUVEAU RENAULT GAMME ELECTRIQUE,Gamme,-,-,-
RENEW,Offre commerciale,-,-,-
AUDI Q8 ELECTRIQUE,Audi Q8 e-tron,4901,1937,1633
PEUGEOT 408 HYBRIDE,Peugeot 408 hybride,4687,1852,1448
NISSAN LE MOIS DE L HYBRIDE JUKE HYBRIDE,Nissan Juke hybride,4210,1800,1595
SPOTICAR GARAGE,Offre commerciale,-,-,-
MG 4 ELECTRIQUE,MG4 électrique,4287,1836,1504
VW ID ELECTRIQUE,Volkswagen ID.3,4261,1809,1552
SKODA LES JOURNEES SKODA A TAUX ZERO KAMIQ,Skoda Kamiq,4241,1793,1531
DACIA JOGGER HYBRIDE,Dacia Jogger hybride,4547,1848,1645
PLUG INN APPLICATION,Offre commerciale,-,-,-
FORD EXPLORER ELECTRIQUE,Ford Explorer électrique,5050,2030,1780
MOBILIZE SERVICES,Offre commerciale,-,-,-
DS DS4 ESPRIT DE VOYAGE HYBRIDE,DS 4 hybride,4400,1866,1490
RENAULT ESPACE HYBRIDE,Renault Espace hybride,4720,1844,1670
CITROEN C4 ELECTRIQUE,Citroën e-C4,4360,1800,1525
NISSAN ARIYA ELECTRIQUE,Nissan Ariya,4595,1850,1660
RENAULT KANGOO ELECTRIQUE,Renault Kangoo électrique,4479,1829,1837
PEUGEOT 24 JOURS CHRONO 208,Peugeot 208,4055,1745,1430
MG 3 HYBRIDE,MG3 hybride,4055,1729,1505
RENAULT PRET A PARTIR E TECH ELECTRIQUE,Renault Zoé électrique,4087,1730,1501
SPOTICAR FR,Offre commerciale,-,-,-
BYD AUTO GAMME,Gamme,-,-,-
ALPINE A290 ELECTRIQUE,Alpine A290,3834,1775,1435
RANGE ROVER,Range Rover,5052,2018,1835
STELLANTIS AUTOMOBILE PRESTIGE,Offre commerciale,-,-,-
AUDI Q6 ELECTRIQUE,Audi Q6 e-tron,4851,1939,1665
RENAULT SYMBIOZ HYBRIDE,Renault Symbioz hybride,4410,1820,1595
MERCEDES STAR DAYS GAMME,Gamme,-,-,-
TOYOTA JOURNEES MODE ECO YARIS HYBRIDE,Toyota Yaris hybride,3940,1745,1500
SKODA LES OFFRES ALL INCLUSIVE ENYAQ,Skoda Enyaq,4649,1879,1616
DS DS7 ANTOINE DE SAINT EXUPERY ELECTRIQUE,DS 7 E-Tense électrique,4573,1895,1620
VW LES INSTANTS SUVW TAIGO,Volkswagen Taigo,4261,1756,1501
VW LES INSTANTS SUVW T ROC,Volkswagen T-Roc,4263,1819,1573
TOYOTA JOURNEES MODE ECO TOYOTA C HR HYBRIDE,Toyota C-HR hybride,4360,1795,1565
RENAULT PRET A PARTIR AUSTRAL HYBRID,Renault Austral hybride,4510,1820,1625
ALFA JUNIOR ELECTRIQUE,Offre commerciale,-,-,-
BYD SEAL U HYBRIDE,BYD Seal U hybride,4785,1900,1660
TOYOTA JOURNEES MODE ECO HYBRIDE,Offre commerciale,-,-,-
DS DS4 EXPERIENCES HYBRIDE,DS 4 hybride,4400,1866,1490
KIA EV3 ELECTRIQUE,Kia EV3,4300,1850,1560
CUPRA TAVASCAN ELECTRIQUE,Cupra Tavascan,4644,1861,1580
BMW GAMME ELECTRIQUE,Gamme,-,-,-
HONDA HR V HYBRIDE,Honda HR-V hybride,4385,1790,1605
XPENG G6 ELECTRIQUE,Xpeng G6,4753,1900,1650
CUPRA TERRAMAR HYBRIDE,Cupra Terramar hybride,4544,1869,1650
TOYOTA BLACK FRIDAY AYGO,Toyota Aygo X,3700,1740,1525
DACIA SANDRIDER COMPETITION,Offre commerciale,-,-,-
PEUGEOT CITROEN DS PRESTIGE,Offre commerciale,-,-,-
PEUGEOT LES LION DAYS 208,Peugeot 208,4055,1745,1430
MINI CLUBMAN EDITION CANONBURY,Mini Clubman,4253,1800,1441
PEUGEOT LES LION DAYS E 2008,Peugeot e-2008,4300,1770,1550
DACIA SPRING ELECTRIQUE,Dacia Spring,3734,1624,1516
VW ID4 ELECTRIQUE,Volkswagen ID.4,4584,1852,1632
RENAULT ALPINE,Alpine A110,4178,1798,1252
RENAULT ALPINE F1 E TECH COMPETITION,Offre commerciale,-,-,-
CITROEN LES OFFRES CITROZEN,Offre commerciale,-,-,-
JEEP COMPASS HYBRIDE,Jeep Compass,4394,1819,1640
MITSUBISHI ECLIPSE CROSS HYBRIDE,Mitsubishi Eclipse Cross,4405,1805,1685
CITROEN LES OFFRES CITROZEN C5 AIRCROSS,Citroën C5 Aircross,4500,1865,1700
MINI FR,Offre commerciale,-,-,-
PEUGEOT 508 ENGINEERED,Peugeot 508,4750,1859,1403
TOYOTA LES PRET A CONDUIRE COROLLA,Toyota Corolla,4630,1780,1435
TOYOTA LES PRET A CONDUIRE C HR,Toyota C-HR,4360,1795,1565
CITROEN LES OFFRES ELECTROZEN E C4 ELECTRIQUE,Citroën e-C4,4360,1800,1525
MERCEDES EQA ELECTRIQUE,Mercedes EQA,4463,1834,1624
FORD PRESTIGE AUTOMOBILE,Offre commerciale,-,-,-
THEARTOFDS FR,Offre commerciale,-,-,-
TOYOTA LES PRET A CONDUIRE YARIS,Toyota Yaris,3940,1695,1500
MG ZS EV LUXURY,MG ZS EV,4314,1809,1648
VOLVO XC40 ELECTRIQUE,Volvo XC40 Recharge,4425,1863,1652
HYUNDAI GAMME HYBRIDE,Gamme,-,-,-
HYUNDAI IONIQ 5 ELECTRIQUE,Hyundai IONIQ 5,4635,1890,1605
MAZDA GAMME AUTOS,Gamme,-,-,-
RENAULT ARKANA HYBRIDE,Renault Arkana,4565,1820,1570
FORD PUMA FLEXIFUEL,Ford Puma,4207,1805,1536
TOYOTA LES HAPPY HYBRID DAYS,Offre commerciale,-,-,-
TOYOTA LES HAPPY HYBRID DAYS COROLLA HYBRIDE,Toyota Corolla Hybride,4630,1780,1435
VW INSTANTS DECISIFS ID4,Volkswagen ID.4,4584,1852,1632
JEEP 4XE DAYS,Offre commerciale,-,-,-
PEUGEOT 508 SW HYBRIDE,Peugeot 508 SW,4787,1859,1467
AUDI Q4 E TRON ELECTRIQUE,Audi Q4 e-tron,4589,1865,1613
DS DS9,DS 9,4934,1865,1460
MG EHS HYBRIDE,MG EHS,4605,1876,1664
HYUNDAI PRESTIGE AUTOS,Offre commerciale,-,-,-
AIWAYS U5 ELECTRIQUE,Aiways U5,4680,1860,1601
NISSAN QASHQAI HYBRIDE,Nissan Qashqai,4425,1837,1635
DS PRESTIGE AUTOMOBILE,Offre commerciale,-,-,-
